|   paytin   |    girl    |    girl    |     1      |
| petronila  |    girl    |    girl    |     1      |
|   earla    |    girl    |    girl    |     1      |
|  treylan   |    boy     |    boy     |     1      |
| donnajean  |    girl    |    girl    |     1      |
|   kawena   |    girl    |    both    |     0      |
|  loraine   |    girl    |    both    |     0      |
|   habiba   |    boy     |    girl    |     0      |
|  gennaro   |    boy     |    boy     |     1      |
|   wesley   |    boy     |    both    |     0      |
|  shabreka  |    girl    |    girl    |     1      |
|   raliek   |    boy     |    boy     |     1      |
|   muaad    |    boy     |    boy     |     1      |
|   ysabel   |    boy     |    both    |     0      |
|   chloe    |    girl    |    both    |     0      |
|  emmarae   |    girl    |    girl    |     1      |
|  brynlee   |    girl    |    girl    |     1      |
|   jaysen   |    boy     |    boy     |     1      |
|   arwen    |    boy     |    girl    |     0      |
|  annalise  |    girl    |    girl    |     1      |
|  nicklaus  |    boy     |    boy     |     1      |
|   jarrod   |    boy     |    boy     |     1      |
|   kahlan   |    boy     |    girl    |     0      |
|  carlene   |    girl    |    girl    |     1      |
|  harnoor   |    boy     |    both    |     0      |
| jamarious  |    boy     |    boy     |     1      |
|   khalen   |    boy     |    boy     |     1      |
|  aneesah   |    girl    |    girl    |     1      |
|  arionna   |    girl    |    girl    |     1      |
|  josaiah   |    boy     |    boy     |     1      |
| chrislynn  |    girl    |    girl    |     1      |
|   janese   |    girl    |    girl    |     1      |
|  janetta   |    girl    |    girl    |     1      |
|  chevelle  |    girl    |    girl    |     1      |
|   thoms    |    boy     |    boy     |     1      |
|   danise   |    girl    |    girl    |     1      |
|    gale    |    boy     |    both    |     0      |
|   oumou    |    boy     |    girl    |     0      |
|  lakishia  |    girl    |    girl    |     1      |
|    moir    |    boy     |    boy     |     1      |
| victoriano |    boy     |    boy     |     1      |
|   bryor    |    boy     |    boy     |     1      |
|  jonhatan  |    boy     |    boy     |     1      |
|   aramis   |    boy     |    both    |     0      |
|   maham    |    boy     |    girl    |     0      |
|   donie    |    both    |    girl    |     0      |
|   zamar    |    boy     |    boy     |     1      |
|  alisande  |    girl    |    girl    |     1      |
|    aryn    |    both    |    girl    |     0      |
| barbaraann |    girl    |    girl    |     1      |
|   ramil    |    boy     |    boy     |     1      |
| frederica  |    girl    |    girl    |     1      |
|   aadin    |    boy     |    boy     |     1      |
| wladyslawa |    girl    |    girl    |     1      |
| yancarlos  |    boy     |    boy     |     1      |
|  tymarion  |    boy     |    boy     |     1      |
|   layni    |    girl    |    girl    |     1      |
| sigismund  |    boy     |    boy     |     1      |
|  nechama   |    girl    |    girl    |     1      |
|  chantale  |    girl    |    girl    |     1      |
|    evie    |    girl    |    girl    |     1      |
|   petula   |    girl    |    girl    |     1      |
|    wolf    |    boy     |    boy     |     1      |
|   kamal    |    girl    |    boy     |     0      |
|   mazel    |    girl    |    girl    |     1      |
|   zooey    |    boy     |    girl    |     0      |
|   reynol   |    boy     |    boy     |     1      |
|   martez   |    boy     |    boy     |     1      |
|  jeananne  |    girl    |    girl    |     1      |
|   sarika   |    girl    |    girl    |     1      |
| melquiades |    girl    |    boy     |     0      |
|    lonn    |    boy     |    boy     |     1      |
|   hersey   |    boy     |    boy     |     1      |
|  pressley  |    girl    |    both    |     0      |
|   talina   |    girl    |    girl    |     1      |
|  donzell   |    boy     |    both    |     0      |
|   siddhi   |    girl    |    girl    |     1      |
|   richie   |    girl    |    both    |     0      |
|   loula    |    girl    |    girl    |     1      |
|  dantrel   |    boy     |    boy     |     1      |
|   yahel    |    girl    |    boy     |     0      |
|  vanness   |    girl    |    boy     |     0      |
|  frankye   |    girl    |    girl    |     1      |
|   jerrye   |    boy     |    girl    |     0      |
|   armand   |    boy     |    boy     |     1      |
|  rosslyn   |    girl    |    girl    |     1      |
|  crimson   |    boy     |    both    |     0      |
|   aniket   |    boy     |    boy     |     1      |
|   chera    |    girl    |    girl    |     1      |
|  analayah  |    girl    |    girl    |     1      |
|   ferman   |    boy     |    boy     |     1      |
|   litsy    |    girl    |    girl    |     1      |
|   alanzo   |    boy     |    boy     |     1      |
|  avaleigh  |    girl    |    girl    |     1      |
|  juliano   |    boy     |    boy     |     1      |
|   yoscar   |    boy     |    boy     |     1      |
|   lodena   |    girl    |    girl    |     1      |
|   shanay   |    girl    |    girl    |     1      |
|    kin     |    boy     |    boy     |     1      |
| kasaundra  |    girl    |    girl    |     1      |
|  chimere   |    boy     |    girl    |     0      |
|  ravleen   |    girl    |    girl    |     1      |
|  ajaysia   |    girl    |    girl    |     1      |
|   gustaf   |    boy     |    boy     |     1      |
|  calleigh  |    girl    |    girl    |     1      |
|   jacqui   |    girl    |    girl    |     1      |
|    olee    |    girl    |    boy     |     0      |
|   duard    |    boy     |    boy     |     1      |
|    myah    |    girl    |    girl    |     1      |
|   burma    |    girl    |    girl    |     1      |
|   donica   |    girl    |    girl    |     1      |
|   zeenat   |    girl    |    girl    |     1      |
|   tyheem   |    boy     |    boy     |     1      |
|  kennisha  |    girl    |    girl    |     1      |
|   lacee    |    girl    |    girl    |     1      |
|   minor    |    boy     |    boy     |     1      |
|   dymond   |    boy     |    girl    |     0      |
|  saralyn   |    girl    |    girl    |     1      |
|   hinda    |    girl    |    girl    |     1      |
| stephannie |    girl    |    girl    |     1      |
|   juwon    |    boy     |    boy     |     1      |
| josemiguel |    boy     |    boy     |     1      |
|   kayli    |    girl    |    girl    |     1      |
|   krysta   |    girl    |    girl    |     1      |
|    reah    |    girl    |    girl    |     1      |
|    zuly    |    girl    |    girl    |     1      |
|   deema    |    girl    |    girl    |     1      |
|   janita   |    girl    |    girl    |     1      |
|   dymere   |    boy     |    boy     |     1      |
|  shamyra   |    girl    |    girl    |     1      |
|   myrtle   |    boy     |    girl    |     0      |
|  angelly   |    girl    |    girl    |     1      |
|  kolston   |    boy     |    boy     |     1      |
|   erbie    |    both    |    boy     |     0      |
|  radford   |    boy     |    boy     |     1      |
|   nixie    |    girl    |    girl    |     1      |
|  denorris  |    boy     |    boy     |     1      |
|  jadarian  |    boy     |    boy     |     1      |
|  jenelle   |    girl    |    girl    |     1      |
|  timotea   |    girl    |    girl    |     1      |
|   olena    |    girl    |    girl    |     1      |
| nathanuel  |    boy     |    boy     |     1      |
|   mallie   |    girl    |    both    |     0      |
|  aleksei   |    girl    |    boy     |     0      |
|   dayja    |    girl    |    girl    |     1      |
|  louetta   |    girl    |    girl    |     1      |
|   mianna   |    girl    |    girl    |     1      |
|   wanita   |    girl    |    girl    |     1      |
|  adarius   |    boy     |    boy     |     1      |
|    juel    |    boy     |    both    |     0      |
| joanthony  |    boy     |    boy     |     1      |
|   robel    |    boy     |    boy     |     1      |
|  kourtney  |    girl    |    both    |     0      |
|  shaheem   |    boy     |    boy     |     1      |
|  ellarose  |    girl    |    girl    |     1      |
|    debi    |    girl    |    girl    |     1      |
|   allysa   |    girl    |    girl    |     1      |
|   vester   |    both    |    both    |     1      |
|   moroni   |    girl    |    boy     |     0      |
|  angelisa  |    girl    |    girl    |     1      |
|   saeed    |    boy     |    boy     |     1      |
|    phi     |    boy     |    boy     |     1      |
|   landen   |    both    |    both    |     1      |
|   arely    |    girl    |    girl    |     1      |
|  dedrick   |    boy     |    boy     |     1      |
|  ricarda   |    girl    |    girl    |     1      |
|  emigdio   |    boy     |    boy     |     1      |
|  isabelle  |    girl    |    both    |     0      |
|   kyran    |    boy     |    boy     |     1      |
|   vassie   |    girl    |    girl    |     1      |
|   brook    |    boy     |    both    |     0      |
|  mazelle   |    girl    |    girl    |     1      |
|  journee   |    girl    |    girl    |     1      |
|   yicel    |    girl    |    girl    |     1      |
|  mirlande  |    girl    |    girl    |     1      |
|  chaniyah  |    girl    |    girl    |     1      |
|  emmaline  |    girl    |    girl    |     1      |
|   johnny   |    boy     |    both    |     0      |
|  thedore   |    boy     |    boy     |     1      |
|  shakeena  |    girl    |    girl    |     1      |
|    jema    |    girl    |    girl    |     1      |
|  zakaria   |    girl    |    both    |     0      |
|  rechelle  |    girl    |    girl    |     1      |
|  shanell   |    girl    |    girl    |     1      |
|   omeed    |    boy     |    boy     |     1      |
|   calin    |    both    |    boy     |     0      |
|   harper   |    boy     |    both    |     0      |
|   lolita   |    girl    |    girl    |     1      |
| qadriyyah  |    girl    |    girl    |     1      |
|  damario   |    boy     |    boy     |     1      |
|    brea    |    girl    |    girl    |     1      |
|   leira    |    girl    |    girl    |     1      |
|  camerin   |    both    |    boy     |     0      |
| izzabella  |    girl    |    girl    |     1      |
|   maddie   |    girl    |    girl    |     1      |
|   orneta   |    girl    |    girl    |     1      |
|   nishat   |    boy     |    girl    |     0      |
|   tobias   |    boy     |    boy     |     1      |
|  katelyn   |    girl    |    both    |     0      |
|  basheer   |    boy     |    boy     |     1      |
|   yusuke   |    boy     |    boy     |     1      |
|  rehanna   |    girl    |    girl    |     1      |
|  theotis   |    boy     |    boy     |     1      |
|    onyx    |    boy     |    both    |     0      |
|    gian    |    both    |    boy     |     0      |
|   rainee   |    girl    |    girl    |     1      |
|    ivet    |    girl    |    girl    |     1      |
|  lutricia  |    girl    |    girl    |     1      |
|    dez     |    boy     |    boy     |     1      |
|   dorsa    |    girl    |    girl    |     1      |
|   lawana   |    girl    |    girl    |     1      |
|   keryn    |    girl    |    girl    |     1      |
|  nyeisha   |    girl    |    girl    |     1      |
|   lovett   |    girl    |    boy     |     0      |
|   cheyne   |    girl    |    boy     |     0      |
|   briana   |    girl    |    both    |     0      |
|    teo     |    boy     |    boy     |     1      |
|  barrett   |    boy     |    both    |     0      |
|  rosalea   |    girl    |    girl    |     1      |
|   windle   |    boy     |    boy     |     1      |
|   ileene   |    girl    |    girl    |     1      |
|   masaye   |    girl    |    girl    |     1      |
|   nandi    |    girl    |    girl    |     1      |
|   jamail   |    boy     |    boy     |     1      |
|   jameer   |    boy     |    boy     |     1      |
|   karan    |    boy     |    both    |     0      |
|   fizza    |    girl    |    girl    |     1      |
|   hazle    |    boy     |    girl    |     0      |
|   khyle    |    girl    |    boy     |     0      |
|    mele    |    girl    |    girl    |     1      |
|    cian    |    boy     |    boy     |     1      |
|  blakelyn  |    girl    |    girl    |     1      |
|   marlys   |    girl    |    girl    |     1      |
|   tyrece   |    boy     |    boy     |     1      |
|   halie    |    girl    |    girl    |     1      |
|  attilio   |    boy     |    boy     |     1      |
|  destine   |    girl    |    girl    |     1      |
|  destynee  |    girl    |    girl    |     1      |
|  tameshia  |    girl    |    girl    |     1      |
|  javonni   |    boy     |    boy     |     1      |
|   jaelin   |    girl    |    both    |     0      |
| ermalinda  |    girl    |    girl    |     1      |
|    iain    |    boy     |    boy     |     1      |
|  derward   |    boy     |    boy     |     1      |
|  sostenes  |    boy     |    boy     |     1      |
|  latonga   |    girl    |    girl    |     1      |
|    ming    |    girl    |    both    |     0      |
|   fallyn   |    girl    |    girl    |     1      |
|  ericson   |    boy     |    boy     |     1      |
|  brisamar  |    girl    |    girl    |     1      |
|   jamyla   |    girl    |    girl    |     1      |
|   aldin    |    boy     |    boy     |     1      |
|   james    |    boy     |    both    |     0      |
|   lanier   |    boy     |    both    |     0      |
|   sevana   |    girl    |    girl    |     1      |
|   rilee    |    girl    |    both    |     0      |
|  samreen   |    girl    |    girl    |     1      |
|  jennika   |    girl    |    girl    |     1      |
|   amelie   |    girl    |    girl    |     1      |
|  emillee   |    girl    |    girl    |     1      |
|   heydi    |    girl    |    girl    |     1      |
|   aleigh   |    girl    |    girl    |     1      |
|   tinlee   |    girl    |    girl    |     1      |
|   dhilan   |    boy     |    boy     |     1      |
|   ruchel   |    girl    |    girl    |     1      |
|    scot    |    boy     |    boy     |     1      |
|   jadden   |    boy     |    boy     |     1      |
| rodneshia  |    girl    |    girl    |     1      |
|   saddam   |    boy     |    boy     |     1      |
|  raelynn   |    girl    |    girl    |     1      |
|  keiondre  |    boy     |    boy     |     1      |
|  jamielyn  |    girl    |    girl    |     1      |
|   adara    |    girl    |    girl    |     1      |
|  shellye   |    girl    |    girl    |     1      |
| nastassja  |    girl    |    girl    |     1      |
|   theia    |    girl    |    girl    |     1      |
|  desirey   |    girl    |    girl    |     1      |
|  aristeo   |    boy     |    boy     |     1      |
|  kadeidra  |    boy     |    girl    |     0      |
|   alayza   |    girl    |    girl    |     1      |
|  leonard   |    boy     |    both    |     0      |
| laurabelle |    girl    |    girl    |     1      |
|   bettye   |    girl    |    girl    |     1      |
|   ithan    |    boy     |    boy     |     1      |
|  hjalmer   |    boy     |    boy     |     1      |
|   maceo    |    boy     |    boy     |     1      |
|   arliss   |    girl    |    girl    |     1      |
|  tierney   |    girl    |    girl    |     1      |
|  odysseus  |    boy     |    boy     |     1      |
|  bejamin   |    boy     |    boy     |     1      |
|  sherria   |    girl    |    girl    |     1      |
|  raeleigh  |    girl    |    girl    |     1      |
|  giovany   |    boy     |    boy     |     1      |
|   farhad   |    boy     |    boy     |     1      |
|   lonie    |    girl    |    both    |     0      |
|  gonzala   |    girl    |    girl    |     1      |
|  anelise   |    girl    |    girl    |     1      |
|  zeppelin  |    girl    |    boy     |     0      |
|   morley   |    girl    |    boy     |     0      |
|  kalista   |    girl    |    girl    |     1      |
|   lenita   |    girl    |    girl    |     1      |
|  adrionna  |    girl    |    girl    |     1      |
|   mabel    |    girl    |    girl    |     1      |
|  paulyne   |    girl    |    girl    |     1      |
|   jovian   |    boy     |    boy     |     1      |
|   elise    |    girl    |    both    |     0      |
|  braedon   |    boy     |    boy     |     1      |
|   kaelie   |    girl    |    girl    |     1      |
|   myrene   |    girl    |    girl    |     1      |
|   arleta   |    girl    |    girl    |     1      |
|   trista   |    girl    |    girl    |     1      |
|  anayely   |    girl    |    girl    |     1      |
|    erna    |    girl    |    girl    |     1      |
|   sydnei   |    girl    |    girl    |     1      |
| gualberto  |    boy     |    boy     |     1      |
|  justina   |    girl    |    girl    |     1      |
|   ashtyn   |    girl    |    both    |     0      |
| amberleigh |    girl    |    girl    |     1      |
|   waleed   |    boy     |    boy     |     1      |
|   walker   |    boy     |    both    |     0      |
|  baltazar  |    boy     |    boy     |     1      |
|   reuel    |    boy     |    boy     |     1      |
|   caress   |    boy     |    girl    |     0      |
|    kylo    |    boy     |    boy     |     1      |
|   yesica   |    girl    |    girl    |     1      |
|  madalin   |    girl    |    girl    |     1      |
|  kimetha   |    girl    |    girl    |     1      |
|   maresa   |    girl    |    girl    |     1      |
|  paolina   |    girl    |    girl    |     1      |
|   dejaun   |    boy     |    boy     |     1      |
|   minos    |    boy     |    boy     |     1      |
|   allure   |    girl    |    girl    |     1      |
|  ladasha   |    girl    |    girl    |     1      |
|   karen    |    boy     |    both    |     0      |
|  jedadiah  |    boy     |    boy     |     1      |
|    rand    |    boy     |    boy     |     1      |
|   dallyn   |    girl    |    boy     |     0      |
|  zachari   |    boy     |    boy     |     1      |
|    adam    |    boy     |    both    |     0      |
|   cyanne   |    girl    |    girl    |     1      |
|   dellie   |    girl    |    girl    |     1      |
|   riker    |    boy     |    boy     |     1      |
|   issai    |    boy     |    boy     |     1      |
|   idalis   |    girl    |    girl    |     1      |
|   tammie   |    girl    |    girl    |     1      |
|   eunice   |    girl    |    both    |     0      |
|   bindi    |    girl    |    girl    |     1      |
|   roston   |    boy     |    boy     |     1      |
|   farhan   |    boy     |    boy     |     1      |
|  brittiny  |    girl    |    girl    |     1      |
|   efrem    |    boy     |    boy     |     1      |
|  brittan   |    both    |    both    |     1      |
|   maxine   |    girl    |    girl    |     1      |
|   keagon   |    boy     |    boy     |     1      |
| valentina  |    girl    |    girl    |     1      |
|  nesanel   |    boy     |    boy     |     1      |
|   ogden    |    boy     |    boy     |     1      |
|  makiyah   |    girl    |    girl    |     1      |
|   rayann   |    girl    |    girl    |     1      |
|   marlet   |    girl    |    girl    |     1      |
|  elsbeth   |    girl    |    girl    |     1      |
|  abagayle  |    girl    |    girl    |     1      |
|   mabell   |    girl    |    girl    |     1      |
|   shanai   |    girl    |    girl    |     1      |
|   bobak    |    boy     |    boy     |     1      |
|   zudora   |    girl    |    girl    |     1      |
|  nykolas   |    boy     |    boy     |     1      |
|  gessica   |    girl    |    girl    |     1      |
|   nyoka    |    girl    |    girl    |     1      |
|  michele   |    girl    |    both    |     0      |
|    viki    |    girl    |    girl    |     1      |
|  yarissa   |    girl    |    girl    |     1      |
|   yosuf    |    boy     |    boy     |     1      |
| jessicamae |    girl    |    girl    |     1      |
|   jasai    |    boy     |    boy     |     1      |
|   sanaia   |    girl    |    girl    |     1      |
| mariaclara |    girl    |    girl    |     1      |
|   kenson   |    boy     |    boy     |     1      |
|   hudsen   |    boy     |    boy     |     1      |
|   sativa   |    girl    |    girl    |     1      |
|   masood   |    boy     |    boy     |     1      |
|   reegan   |    girl    |    both    |     0      |
|   emilce   |    boy     |    girl    |     0      |
|  cozetta   |    girl    |    girl    |     1      |
|  hansika   |    girl    |    girl    |     1      |
| michellee  |    girl    |    girl    |     1      |
|   akyra    |    girl    |    girl    |     1      |
|   navraj   |    boy     |    boy     |     1      |
|  durante   |    boy     |    boy     |     1      |
|   arissa   |    girl    |    girl    |     1      |
| tonantzin  |    girl    |    girl    |     1      |
|  cesareo   |    boy     |    boy     |     1      |
| broughton  |    boy     |    boy     |     1      |
|   caylah   |    girl    |    girl    |     1      |
|   rayan    |    boy     |    both    |     0      |
|   jaryn    |    girl    |    boy     |     0      |
|   manly    |    girl    |    boy     |     0      |
|  braylen   |    boy     |    both    |     0      |
|   daviel   |    boy     |    boy     |     1      |
|   nidia    |    girl    |    girl    |     1      |
| adalberto  |    boy     |    boy     |     1      |
| christien  |    girl    |    boy     |     0      |
|  carless   |    boy     |    boy     |     1      |
|   uzziel   |    boy     |    boy     |     1      |
|   justin   |    boy     |    both    |     0      |
|  christie  |    girl    |    both    |     0      |
|   dlaney   |    girl    |    girl    |     1      |
|   fahim    |    boy     |    boy     |     1      |
|  zerrick   |    boy     |    boy     |     1      |
|   ailton   |    boy     |    boy     |     1      |
|   jalena   |    girl    |    girl    |     1      |
|  rodolfo   |    boy     |    both    |     0      |
|  dresden   |    boy     |    boy     |     1      |
|  evianna   |    girl    |    girl    |     1      |
|   liron    |    boy     |    girl    |     0      |
|   sherif   |    boy     |    boy     |     1      |
|  leylany   |    girl    |    girl    |     1      |
|   kahli    |    girl    |    girl    |     1      |
| winnifred  |    girl    |    girl    |     1      |
|   canary   |    boy     |    girl    |     0      |
|  leilaney  |    girl    |    girl    |     1      |
|   rodell   |    girl    |    boy     |     0      |
|  khalilah  |    girl    |    girl    |     1      |
|    dena    |    girl    |    girl    |     1      |
|  tyreese   |    boy     |    boy     |     1      |
|   celine   |    girl    |    girl    |     1      |
|   choice   |    girl    |    boy     |     0      |
|   mainor   |    girl    |    boy     |     0      |
|   ninfa    |    girl    |    girl    |     1      |
|   louisa   |    girl    |    girl    |     1      |
|   kassey   |    girl    |    girl    |     1      |
|    izel    |    girl    |    both    |     0      |
|   sohil    |    boy     |    boy     |     1      |
|  geralynn  |    girl    |    girl    |     1      |
|    ian     |    girl    |    both    |     0      |
|   lonell   |    girl    |    boy     |     0      |
|   shamel   |    boy     |    both    |     0      |
|   jeneal   |    girl    |    girl    |     1      |
|    sila    |    girl    |    girl    |     1      |
|  nicolasa  |    boy     |    girl    |     0      |
|   sharie   |    girl    |    girl    |     1      |
|   jamira   |    girl    |    girl    |     1      |
|  prestin   |    both    |    boy     |     0      |
|   subhan   |    boy     |    boy     |     1      |
|   kymora   |    girl    |    girl    |     1      |
|    anay    |    girl    |    both    |     0      |
|  jaselyn   |    girl    |    girl    |     1      |
|   shawon   |    boy     |    boy     |     1      |
|   aiken    |    boy     |    boy     |     1      |
|  mallary   |    girl    |    girl    |     1      |
|   vicci    |    girl    |    girl    |     1      |
| nickholas  |    boy     |    boy     |     1      |
|  luvender  |    boy     |    boy     |     1      |
|  tytianna  |    girl    |    girl    |     1      |
|   stacy    |    girl    |    both    |     0      |
|    eris    |    girl    |    both    |     0      |
|   aparna   |    girl    |    girl    |     1      |
|   magan    |    girl    |    girl    |     1      |
|   saria    |    girl    |    girl    |     1      |
|   cedric   |    boy     |    boy     |     1      |
|    tedd    |    boy     |    boy     |     1      |
|   onnie    |    girl    |    both    |     0      |
|  tambria   |    girl    |    girl    |     1      |
|   nijae    |    girl    |    girl    |     1      |
|  kristyne  |    girl    |    girl    |     1      |
|   fritz    |    girl    |    boy     |     0      |
|  natalio   |    boy     |    boy     |     1      |
| jartavious |    boy     |    boy     |     1      |
|  shakerra  |    girl    |    girl    |     1      |
| aleksander |    boy     |    boy     |     1      |
|  janayah   |    girl    |    girl    |     1      |
|   edrees   |    boy     |    boy     |     1      |
|  ruwayda   |    girl    |    girl    |     1      |
|  dashiel   |    boy     |    boy     |     1      |
| magdalena  |    girl    |    girl    |     1      |
|    sia     |    girl    |    both    |     0      |
|  kyrillos  |    boy     |    boy     |     1      |
|  ahtziry   |    girl    |    girl    |     1      |
| temperance |    girl    |    girl    |     1      |
|   aziah    |    girl    |    both    |     0      |
|  makynzee  |    girl    |    girl    |     1      |
|  chanelle  |    girl    |    girl    |     1      |
|   solana   |    girl    |    girl    |     1      |
|  shameeka  |    girl    |    girl    |     1      |
|  curtiss   |    boy     |    boy     |     1      |
|   karsyn   |    girl    |    both    |     0      |
|  terasha   |    girl    |    girl    |     1      |
|   yeila    |    girl    |    girl    |     1      |
|  jennyfer  |    girl    |    girl    |     1      |
| sharlette  |    girl    |    girl    |     1      |
|  theresa   |    girl    |    both    |     0      |
|  suhaill   |    boy     |    girl    |     0      |
|  tamarick  |    boy     |    boy     |     1      |
|   jaice    |    boy     |    boy     |     1      |
|  britanny  |    girl    |    girl    |     1      |
|   merita   |    girl    |    girl    |     1      |
| cristella  |    girl    |    girl    |     1      |
| freddrick  |    boy     |    boy     |     1      |
|   phung    |    boy     |    girl    |     0      |
|   lazaro   |    boy     |    boy     |     1      |
|  nobuyuki  |    boy     |    boy     |     1      |
|   yamato   |    boy     |    boy     |     1      |
|  blayden   |    boy     |    boy     |     1      |
| laderrick  |    boy     |    boy     |     1      |
|   tandy    |    both    |    both    |     1      |
|   emmory   |    girl    |    girl    |     1      |
